Datetime,Tweet Id,Text
2021-04-03 04:59:48,1378210602271834115,"@Dmonyayy @LibSocWanda @USA_Polling No, the polls showing Biden with big leads in Florida was in the middle of the… https://t.co/c6r3vHQlNI"
2021-04-03 01:38:20,1378159904641458178,"RT @alexsalvinews: Statement from former Pres. Trump:

“Sadly, there was massive fraud in the 2020 Presidential Election, and many very ang…"
2021-04-03 00:16:28,1378139301427355648,"RT @mmfleshman: @Adam4004 @AnnTerranova3 None. This law actually EXPANDS ACCESS to Voting. Expanded Early Voting w Wknd Hours, Secure Drop…"
2021-04-03 00:14:02,1378138689503522818,"RT @Mononoke__Hime: @JohnMil80462729 @MBalsich US Election Results Show President Donald J. Trump Won 83% (2,497) And Joe Biden Won 17% (47…"
2021-04-03 00:02:06,1378135685954072578,"@marcorubio Yes, there you go keep quoting the Bible. There is no other way out. You guys Republican most of you ga… https://t.co/Ex7hV1xDtY"
2021-04-02 23:15:19,1378123911540449281,"@Adam4004 @AnnTerranova3 None. This law actually EXPANDS ACCESS to Voting. Expanded Early Voting w Wknd Hours, Secu… https://t.co/dvWVKVrf6M"
2021-04-02 23:14:13,1378123632996671497,@DemsRRacePimps @cab0113 @Jim_Jordan @chichester FBI Director Wray warned us in testimony to Congress just 26 weeks… https://t.co/bhvY8cdJy8
2021-04-02 22:01:06,1378105234363453444,"RT @zen4ever2us: Wisconsin’s Democratic Governor Tony Evers has asked a federal judge to order Donald Trump to cover $145,000 in legal fees…"
2021-04-02 21:57:18,1378104277672022017,"RT @zen4ever2us: Wisconsin’s Democratic Governor Tony Evers has asked a federal judge to order Donald Trump to cover $145,000 in legal fees…"
2021-04-02 21:57:00,1378104203109937156,"RT @zen4ever2us: Wisconsin’s Democratic Governor Tony Evers has asked a federal judge to order Donald Trump to cover $145,000 in legal fees…"
2021-04-02 21:48:14,1378101997199589378,"RT @zen4ever2us: Wisconsin’s Democratic Governor Tony Evers has asked a federal judge to order Donald Trump to cover $145,000 in legal fees…"
2021-04-02 21:05:14,1378091175861649412,Who will have the courage to face the real extremists? IE Those who stole the 2020 election and installed the puppe… https://t.co/putiznqjIO
2021-04-02 21:04:32,1378091000107831307,RT @StoryDems: @redknitterPNW @DNCWarRoom @washdems @POTUS Thanks for asking. They were pushing a bill in the House. https://t.co/rMByLsZGO…
2021-04-02 20:41:00,1378085074575364096,...such is the state of affairs in the USA today where criminal forces dictate to the people of the USA after  havi… https://t.co/E60duIlQkU
2021-04-02 20:26:46,1378081494241923072,"@SocialistMMA @briebriejoy January 12, 2020 -
'I'm spending all my money to get rid of Trump': Michael Bloomberg |… https://t.co/sbXhmN2FCC"
